step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
32.000000,1.000000,0.000000,0.000000,0.557648,-0.182974,0.818232,-0.910263,0.983604,0.969475,0.572829,-0.903242,-0.992764,0.640345,0.147710,-0.995248,0.976066,0.993858,0.990184
33.000000,1.000000,0.000000,0.000000,0.566499,-0.197967,0.857175,-0.819714,0.992696,0.965014,0.306753,-0.967891,-0.983382,0.373451,-0.741599,-0.993929,0.952651,0.991003,0.985717
34.000000,1.000000,0.000000,0.000000,0.584209,-0.206140,0.933011,-0.814275,0.991659,0.945176,0.174460,-0.988155,-0.987067,0.939112,-0.856646,-0.983694,0.951278,0.993899,0.989418
35.000000,1.000000,0.000000,0.000000,0.612191,-0.211523,0.960588,-0.785807,0.995752,0.962474,0.007058,-0.991451,-0.979597,0.779116,-0.935638,-0.987448,0.956381,0.992908,0.989495
36.000000,1.000000,0.000000,0.000000,0.644967,-0.218104,0.925237,-0.469546,0.994651,0.880704,0.097239,-0.992310,-0.929803,0.790475,-0.970219,-0.975545,0.919584,0.996018,0.988967
37.000000,1.000000,0.000000,0.000000,0.679917,-0.228666,0.868554,-0.570780,0.995739,0.929441,-0.020689,-0.992536,-0.777906,0.547949,-0.986530,-0.967364,0.910866,0.996767,0.987073
38.000000,1.000000,0.000000,0.000000,0.713667,-0.245577,0.747389,-0.457081,0.997371,0.925916,0.400151,-0.988837,-0.138287,0.204877,-0.988928,-0.939449,0.849191,0.997248,0.985826
39.000000,1.000000,0.000000,0.000000,0.717583,-0.253888,0.677452,-0.507483,0.997070,0.964743,0.302085,-0.964339,0.681812,0.807394,-0.990270,-0.741330,0.776674,0.997127,0.984515
40.000000,1.000000,0.000000,0.000000,0.673337,-0.228538,0.595733,0.684748,0.997551,0.480201,-0.339334,-0.854060,0.998802,-0.450788,-0.988211,-0.433888,0.514203,0.996891,0.978009
41.000000,1.000000,0.000000,0.000000,0.621716,-0.183485,0.673172,0.830941,0.996890,-0.434515,-0.541146,-0.215002,0.994357,-0.438107,-0.947934,-0.696115,0.280703,0.996927,0.985745
42.000000,1.000000,0.000000,0.000000,0.566523,-0.133329,0.588511,0.918988,0.993148,-0.857745,-0.453125,-0.329910,0.995374,-0.600508,-0.869769,-0.290049,-0.458755,0.993226,0.969463
43.000000,1.000000,0.000000,0.000000,0.531405,-0.088658,0.634053,0.872076,0.961113,-0.936269,-0.511437,0.183237,0.983360,0.642400,-0.841688,0.396705,-0.335866,0.992884,0.898238
44.000000,1.000000,0.000000,0.000000,0.474792,-0.068629,0.525214,0.595943,0.813376,-0.907182,0.237491,-0.105454,0.970095,0.202289,-0.913361,0.705153,-0.488671,0.985089,0.693123
45.000000,1.000000,0.000000,0.000000,0.422009,-0.063447,0.404140,0.755054,0.934029,-0.886387,0.545075,0.602408,0.927861,0.901027,-0.762335,0.914283,-0.760187,0.981484,-0.588990
46.000000,1.000000,0.000000,0.000000,0.387671,-0.058688,0.635755,0.695281,0.906477,-0.949733,-0.639452,0.803006,0.970505,0.970690,-0.661500,0.977044,-0.843737,0.792519,-0.973337
47.000000,1.000000,0.000000,0.000000,0.367736,-0.043257,0.663000,0.913505,0.548597,-0.968406,-0.131311,0.105881,0.981147,-0.384306,0.334123,0.967868,-0.834444,-0.742915,-0.926625
48.000000,1.000000,0.000000,0.000000,0.375427,-0.038101,0.556417,0.912840,0.201345,-0.979625,0.756371,0.663878,0.988963,-0.907818,0.971536,0.981764,-0.616618,-0.938768,-0.898548
49.000000,1.000000,0.000000,0.000000,0.378980,-0.043774,0.521895,0.831594,-0.599787,-0.988846,0.742108,0.568051,0.991454,-0.914211,0.982199,0.970349,-0.714601,-0.977070,-0.891599
50.000000,1.000000,0.000000,0.000000,0.397052,-0.058814,0.537884,0.815141,-0.733557,-0.987538,0.880502,0.887275,0.988566,-0.880810,0.990131,0.982371,-0.637820,-0.965962,-0.853433
51.000000,1.000000,0.000000,0.000000,0.419378,-0.079561,0.616352,0.631601,-0.794765,-0.990710,0.714764,0.949365,0.991715,-0.670479,0.989690,0.983626,-0.447365,-0.973783,-0.905037
52.000000,1.000000,0.000000,0.000000,0.436926,-0.097034,0.643359,0.777213,-0.770004,-0.980066,0.689093,0.617142,0.981691,-0.437288,0.993009,0.955533,-0.575210,-0.972442,0.273672
53.000000,1.000000,0.000000,0.000000,0.451622,-0.114316,0.613277,0.757914,-0.693960,-0.977130,0.530071,0.405900,0.992010,-0.829192,0.993683,0.984509,-0.543745,-0.948588,0.296869
54.000000,1.000000,0.000000,0.000000,0.444003,-0.108337,0.449574,0.839906,-0.842669,-0.972857,0.677266,-0.017804,0.993409,-0.456596,0.991082,0.991568,-0.485745,-0.857355,0.545984
55.000000,1.000000,0.000000,0.000000,0.440478,-0.081557,0.489380,0.553864,-0.793948,-0.965486,-0.428334,-0.539896,0.997911,0.280249,0.989498,0.995121,0.235583,-0.133142,0.902290
56.000000,1.000000,0.000000,0.000000,0.457723,-0.063623,0.577746,0.506977,-0.678918,-0.434082,-0.562898,-0.148888,0.997711,0.195356,0.991967,0.997855,0.190481,0.421014,0.646743
57.000000,1.000000,0.000000,0.000000,0.470862,-0.030995,0.537191,0.410176,-0.455021,0.055182,-0.619087,-0.630306,0.997552,-0.160128,0.993818,0.996569,0.261100,0.411403,0.854959
58.000000,1.000000,0.000000,0.000000,0.499358,0.000812,0.593806,0.107308,0.566007,0.571778,-0.758592,-0.638027,0.993847,0.435485,0.997316,0.977441,0.489849,0.836706,0.975100
59.000000,1.000000,0.000000,0.000000,0.517962,0.034717,0.584182,-0.338568,0.919333,0.917535,-0.831935,-0.829828,0.993041,0.205882,0.998244,0.734495,0.349811,0.953298,0.987134
60.000000,1.000000,0.000000,0.000000,0.503680,0.036739,0.588450,-0.659955,0.995871,0.986024,-0.948902,-0.013571,-0.631468,0.950794,0.997203,-0.828504,0.871598,0.980729,0.991629
61.000000,1.000000,0.000000,0.000000,0.490182,0.036250,0.575876,-0.880973,0.996799,0.981677,-0.729592,-0.383742,-0.987159,0.911782,0.954465,-0.941405,0.955034,0.992752,0.993298
62.000000,1.000000,0.000000,0.000000,0.496203,0.027970,0.562124,-0.713664,0.997797,0.962339,-0.527160,-0.748200,-0.989988,0.809182,0.760886,-0.926411,0.951967,0.994152,0.989255
63.000000,1.000000,0.000000,0.000000,0.504798,0.014124,0.582551,-0.868019,0.998264,0.972104,0.455460,-0.922482,-0.990716,0.734111,-0.013390,-0.957229,0.921382,0.995923,0.991087
64.000000,1.000000,0.000000,0.000000,0.516574,-0.004709,0.674661,-0.913124,0.994035,0.974817,-0.147916,-0.972119,-0.988486,0.903171,-0.920766,-0.978180,0.946758,0.995428,0.985371
65.000000,1.000000,0.000000,0.000000,0.540933,-0.020258,0.682170,-0.818439,0.995117,0.965581,0.201117,-0.988675,-0.988558,0.806779,-0.963438,-0.969691,0.897538,0.991153,0.981524
66.000000,1.000000,0.000000,0.000000,0.573518,-0.032201,0.715629,-0.928662,0.991889,0.976015,-0.305213,-0.986424,-0.986585,0.890344,-0.979616,-0.973565,0.953011,0.995433,0.985545
67.000000,1.000000,0.000000,0.000000,0.610818,-0.045129,0.713317,-0.910442,0.990330,0.960401,-0.223431,-0.986308,-0.971112,0.806126,-0.987403,-0.975847,0.956055,0.994759,0.987115
68.000000,1.000000,0.000000,0.000000,0.648281,-0.060993,0.656958,-0.839634,0.992769,0.957913,0.317728,-0.978822,-0.820589,0.885893,-0.990723,-0.891105,0.873447,0.995974,0.983578
69.000000,1.000000,0.000000,0.000000,0.686281,-0.079601,0.608684,-0.882959,0.995198,0.969656,0.199329,-0.985959,-0.730495,0.755834,-0.989409,-0.927019,0.849841,0.996172,0.988152
70.000000,1.000000,0.000000,0.000000,0.692446,-0.085735,0.473611,-0.741327,0.995549,0.953508,0.431213,-0.950823,0.767426,0.740987,-0.990396,-0.509637,0.718743,0.996613,0.981445
71.000000,1.000000,0.000000,0.000000,0.664664,-0.058371,0.483665,0.162475,0.995674,0.513055,-0.409115,-0.222433,0.995260,-0.298964,-0.984171,-0.484357,0.697276,0.997089,0.985374
72.000000,1.000000,0.000000,0.000000,0.641159,-0.017858,0.526750,0.561759,0.985688,-0.087510,-0.326235,0.676524,0.983904,-0.467904,-0.907155,-0.119053,0.210317,0.994639,0.979413
73.000000,1.000000,0.000000,0.000000,0.609705,0.025035,0.494053,0.453215,0.946408,-0.744601,0.037449,0.778406,0.971342,-0.537055,-0.296651,0.595064,-0.254732,0.994177,0.936293
74.000000,1.000000,0.000000,0.000000,0.574853,0.029767,0.391825,0.468025,0.807229,-0.903419,0.402430,0.881697,0.953744,-0.276753,0.738648,0.949979,-0.536164,0.993742,0.453649
75.000000,1.000000,0.000000,0.000000,0.546742,0.032203,0.349599,0.788162,0.899485,-0.966693,-0.148707,0.982301,0.942207,0.865484,0.750547,0.980645,-0.764744,0.991604,-0.948255
76.000000,1.000000,0.000000,0.000000,0.538913,0.020657,0.513688,0.601566,0.693709,-0.923512,0.096651,0.962951,0.945422,0.909407,0.618724,0.973614,-0.814219,0.928957,-0.813564
77.000000,1.000000,0.000000,0.000000,0.542122,0.013070,0.514036,0.661252,0.040964,-0.941105,0.634595,0.925645,0.956494,-0.477662,0.840338,0.969946,-0.739754,0.377616,-0.732234
78.000000,1.000000,0.000000,0.000000,0.544727,0.008775,0.495844,0.705463,-0.549017,-0.976665,0.629133,0.944521,0.974301,-0.720631,0.876858,0.981948,-0.659355,-0.571314,-0.925679
79.000000,1.000000,0.000000,0.000000,0.554902,0.003106,0.421374,0.770162,-0.899741,-0.983315,0.904532,0.929251,0.981483,-0.931921,0.962045,0.981755,-0.728881,-0.907434,-0.922523
80.000000,1.000000,0.000000,0.000000,0.576064,-0.005754,0.413091,0.636477,-0.908863,-0.986083,0.694869,0.930125,0.989229,-0.849220,0.961416,0.979966,-0.676668,-0.960178,-0.927740
