step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
32.000000,1.000000,0.000000,0.000000,0.719092,-0.017126,0.785917,-0.627761,-0.537903,1.901158,0.069133,0.816262,0.201136,0.525609,0.392515,0.069330,0.503275,1.496760,2.223038
33.000000,1.000000,0.000000,0.000000,0.707615,-0.022142,0.764752,-0.477888,0.014714,1.845696,0.144750,0.500516,-0.869327,0.387998,0.283319,-0.385634,0.251313,1.542627,2.222090
34.000000,1.000000,0.000000,0.000000,0.719323,-0.013411,0.754155,-0.461063,0.062741,1.604659,0.013200,0.199119,-1.281202,0.455160,0.263696,-0.827231,0.221676,1.725849,2.592095
35.000000,1.000000,0.000000,0.000000,0.741071,-0.003279,0.676641,-0.447124,0.205974,1.704505,-0.092295,-0.124170,-1.292961,0.400849,-0.017926,-0.896592,-0.093859,1.315181,2.495960
36.000000,1.000000,0.000000,0.000000,0.773935,0.010121,0.630999,-0.410987,0.235087,1.575650,-0.136955,-0.508863,-1.193011,0.350468,-0.158819,-0.993395,0.157589,1.454970,2.539418
37.000000,1.000000,0.000000,0.000000,0.801806,0.015189,0.586755,-0.552813,0.119436,1.814403,-0.060798,-0.907119,-1.079895,0.244184,-0.491276,-0.814428,0.254435,1.144024,2.351827
38.000000,1.000000,0.000000,0.000000,0.824950,0.016076,0.558523,-0.711405,-0.056981,1.900338,0.099862,-1.099217,-0.858232,0.236829,-0.785673,-0.888788,0.253387,0.880401,2.243830
39.000000,1.000000,0.000000,0.000000,0.836251,0.004894,0.591650,-0.881730,-0.403101,1.959234,0.263272,-1.299421,-0.637559,0.422077,-1.021317,-0.766311,0.394798,0.600284,1.944861
40.000000,1.000000,0.000000,0.000000,0.862081,-0.012304,0.629107,-0.662228,-0.202943,2.358046,0.337891,-1.602254,-0.061389,0.226796,-1.190812,-0.486593,0.892769,0.783857,2.234478
41.000000,1.000000,0.000000,0.000000,0.898398,-0.027978,0.672638,-0.689135,0.057894,2.291442,0.197856,-1.574612,0.264010,0.074938,-1.247510,-0.065063,0.916174,0.670157,2.349512
42.000000,1.000000,0.000000,0.000000,0.942290,-0.049943,0.658287,-0.415344,0.067931,2.666233,0.169209,-1.645683,0.614540,0.190636,-1.260156,0.234914,0.675243,0.665374,2.491423
43.000000,1.000000,0.000000,0.000000,0.991635,-0.067731,0.692978,-0.275469,0.129809,2.485438,-0.132734,-1.381745,1.457463,0.031528,-1.295658,0.628477,0.767437,0.586738,2.761303
