version,experiment_id,git_commit,configuration,environment,algorithm,seed,environment_steps,wall_clock_seconds,checkpoint,status,deterministic_return,stochastic_return,tracking_error_xy,yaw_error,survival_rate,forward_gain,lag_steps,entropy,action_std,kl,alpha_temp,alpha_kl,q_bias,target_clip_fraction,notes
v00,ppo_196M__deterministic__E1,aef23c9,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/params/agent.yaml,Unitree-Go2-Flat,PPO,1,196608000,,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/model_1999.pt,evaluated,53.1450,,0.2593,0.0845,0.9667,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,ppo_196M__stochastic__E1,aef23c9,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/params/agent.yaml,Unitree-Go2-Flat,PPO,1,196608000,,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/model_1999.pt,evaluated,,49.2356,0.2588,0.1234,0.9600,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v28_refparity__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v28_refparity.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_09-11-35_go2_v28_refparity_s1/model_299.pt,evaluated,45.7186,,0.5233,0.1866,0.9333,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,reppo_v28_refparity__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v28_refparity.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_09-11-35_go2_v28_refparity_s1/model_299.pt,evaluated,,42.3444,0.5267,0.1996,0.9467,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v29_dualclip__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v29_dualclip.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_10-10-40_go2_v29_dualclip_s1/model_299.pt,evaluated,47.7486,,0.4890,0.1665,0.9267,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.60"
v00,reppo_v29_dualclip__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v29_dualclip.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_10-10-40_go2_v29_dualclip_s1/model_299.pt,evaluated,,40.2351,0.5888,0.2140,0.8667,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v30_atoms151__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v30_atoms151.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_11-02-06_go2_v30_atoms151_s1/model_299.pt,evaluated,47.5623,,0.4812,0.1631,0.9533,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.80"
v00,reppo_v30_atoms151__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v30_atoms151.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_11-02-06_go2_v30_atoms151_s1/model_299.pt,evaluated,,42.8093,0.5013,0.1937,0.9200,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s1__deterministic__E2,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,1,39321600,3499,logs/safe_rl/go2_v00/2026-08-03_12-31-06_reppo_v00_s1/model_299.pt,evaluated,36.5073,,0.7420,0.2127,0.6000,,,-5.9851,0.5001,0.0998,0.0027,0.0438,0.0484,0.0014,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.60"
v00,reppo_v00_s2__deterministic__E2,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,2,39321600,3259,logs/safe_rl/go2_v00/2026-08-03_13-29-24_reppo_v00_s2/model_299.pt,evaluated,28.3583,,0.7346,0.1945,0.4000,,,-5.9820,0.4934,0.0998,0.0029,0.0459,0.0501,0.0012,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.40"
