version,experiment_id,git_commit,configuration,environment,algorithm,seed,environment_steps,wall_clock_seconds,checkpoint,status,deterministic_return,stochastic_return,tracking_error_xy,yaw_error,survival_rate,forward_gain,lag_steps,entropy,action_std,kl,alpha_temp,alpha_kl,q_bias,target_clip_fraction,notes
v00,ppo_39M_s5__deterministic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,5,39321600,461,logs/safe_rl/go2_v00/2026-08-03_13-32-33_ppo_39M_s5/model_399.pt,evaluated,53.8573,,0.2595,0.0906,0.9635,,,4.8349,0.3642,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.80"
v00,ppo_39M_s5__stochastic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,5,39321600,461,logs/safe_rl/go2_v00/2026-08-03_13-32-33_ppo_39M_s5/model_399.pt,evaluated,,48.6524,0.2716,0.1354,0.9688,,,4.8349,0.3642,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,ppo_196M__deterministic__E1,e55a861,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/params/agent.yaml,Unitree-Go2-Flat,PPO,1,196608000,,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/model_1999.pt,evaluated,54.8843,,0.2348,0.0797,0.9740,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,ppo_196M__stochastic__E1,e55a861,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/params/agent.yaml,Unitree-Go2-Flat,PPO,1,196608000,,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/model_1999.pt,evaluated,,50.8115,0.2402,0.1195,0.9661,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v28_refparity__deterministic__E1,e55a861,config/mjlab_go2_reppo_v28_refparity.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_09-11-35_go2_v28_refparity_s1/model_299.pt,evaluated,46.4665,,0.5178,0.1777,0.9531,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,reppo_v28_refparity__stochastic__E1,e55a861,config/mjlab_go2_reppo_v28_refparity.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_09-11-35_go2_v28_refparity_s1/model_299.pt,evaluated,,41.3576,0.5786,0.2139,0.9792,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v29_dualclip__deterministic__E1,e55a861,config/mjlab_go2_reppo_v29_dualclip.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_10-10-40_go2_v29_dualclip_s1/model_299.pt,evaluated,49.4729,,0.4215,0.1507,0.9323,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.60"
v00,reppo_v29_dualclip__stochastic__E1,e55a861,config/mjlab_go2_reppo_v29_dualclip.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_10-10-40_go2_v29_dualclip_s1/model_299.pt,evaluated,,44.5205,0.4897,0.1934,0.9219,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v30_atoms151__deterministic__E1,e55a861,config/mjlab_go2_reppo_v30_atoms151.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_11-02-06_go2_v30_atoms151_s1/model_299.pt,evaluated,48.6199,,0.4432,0.1591,0.9375,,,,,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.80"
v00,reppo_v30_atoms151__stochastic__E1,e55a861,config/mjlab_go2_reppo_v30_atoms151.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_11-02-06_go2_v30_atoms151_s1/model_299.pt,evaluated,,44.4400,0.4535,0.1862,0.9271,,,,,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
